Event,Site,Date,UTCTime,White,Black,WhiteElo,BlackElo,Result
Rated Blitz game,https://lichess.org/id1sNhOX,2024.03.04,15:18:35,waltalgg,ArtTikhon,1910,1897,1/2-1/2
Rated Blitz game,https://lichess.org/IzpSeMZD,2024.03.04,15:11:10,waltalgg,kingsajjad1,1917,1832,0-1
Rated Blitz game,https://lichess.org/yRhDDrf1,2024.03.04,15:05:54,maherrrrr,waltalgg,1932,1923,1-0
Rated Blitz game,https://lichess.org/TsegvnH9,2024.03.04,15:00:04,waltalgg,gurukhan,1928,1949,0-1
Rated Bullet game,https://lichess.org/veCY47ah,2024.03.04,12:22:38,RudraRaval1,waltalgg,2151,2196,1-0
Rated Bullet game,https://lichess.org/PtvqNU9K,2024.03.04,12:22:19,waltalgg,Sergaddd25,2190,2217,1-0
Rated Bullet game,https://lichess.org/yoQ9gOi0,2024.03.04,12:20:14,ozenc1029,waltalgg,2129,2196,1-0
Rated Bullet game,https://lichess.org/VNwpIpdS,2024.03.04,12:18:05,waltalgg,Ignatka,2190,2200,1-0
Rated Bullet game,https://lichess.org/LxyUirIn,2024.03.04,12:16:51,waltalgg,ShekerMeker,2185,2187,1-0
Rated Bullet game,https://lichess.org/ftQ0zwnv,2024.03.04,12:15:38,predator28,waltalgg,2198,2190,1-0
Rated Bullet game,https://lichess.org/XVBmIO3w,2024.03.04,12:13:31,MassimoF79,waltalgg,2221,2190,1/2-1/2
Rated Bullet game,https://lichess.org/n2CLlkZc,2024.03.04,12:11:27,waltalgg,mirsch,2185,2126,1-0
Rated Bullet game,https://lichess.org/T4psTIui,2024.03.04,12:09:59,Steel9131,waltalgg,2142,2180,0-1
Rated Bullet game,https://lichess.org/rME4FQqk,2024.03.04,12:07:43,Delatorre87,waltalgg,2162,2186,1-0
Rated Bullet game,https://lichess.org/p50UIOiL,2024.03.04,12:06:51,waltalgg,Klopapierkoenig,2180,2202,1-0
Rated Bullet game,https://lichess.org/NnJvaDsb,2024.03.04,12:04:36,waltalgg,Thomas_Bryan,2174,2153,1-0
King's Pawn Game SuperBlitz Arena,https://lichess.org/qtjNE3gB,2024.03.03,20:19:33,waltalgg,wzetty,1926,1665,1-0
King's Pawn Game SuperBlitz Arena,https://lichess.org/l2ZGKtCU,2024.03.03,20:17:44,Vin30333,waltalgg,1596,1925,0-1
King's Pawn Game SuperBlitz Arena,https://lichess.org/SVcLYLqY,2024.03.03,20:13:24,waltalgg,Hasanalihindi,1925,1909,1/2-1/2
King's Pawn Game SuperBlitz Arena,https://lichess.org/t7orrmcN,2024.03.03,20:12:30,ooaua,waltalgg,1608,1923,0-1
King's Pawn Game SuperBlitz Arena,https://lichess.org/CcQ38bVI,2024.03.03,20:06:44,ALuckyMan,waltalgg,1990,1922,1/2-1/2
King's Pawn Game SuperBlitz Arena,https://lichess.org/Yx8uvITg,2024.03.03,20:01:56,waltalgg,DAM_PRIKYRITb,1927,1985,0-1
Hourly SuperBlitz Arena,https://lichess.org/aPMjNPKe,2024.03.03,19:55:32,inadimi64,waltalgg,1718,1924,0-1
Hourly SuperBlitz Arena,https://lichess.org/Z44S3vqm,2024.03.03,19:49:10,waltalgg,LoveMayonnaise,1922,1665,1-0
Hourly SuperBlitz Arena,https://lichess.org/auphV7Lj,2024.03.03,19:44:10,VAvpav,waltalgg,1582,1921,0-1
Rated Blitz game,https://lichess.org/BhDZkDKI,2024.03.03,19:41:50,JellyBrain,waltalgg,1860,1916,0-1
Rated Blitz game,https://lichess.org/LdbS88l9,2024.03.03,18:30:11,DipjyotiBorah,waltalgg,1985,1920,1-0
Rated Blitz game,https://lichess.org/x5CjbQFz,2024.03.03,18:27:17,waltalgg,DipjyotiBorah,1913,1995,1-0
SuperBlitz,https://lichess.org/Udsimhwf,2024.03.02,23:06:44,mashid,waltalgg,2262,1915,1-0
SuperBlitz,https://lichess.org/GL1i7Bbq,2024.03.02,23:00:01,waltalgg,Chemistry333,1913,1635,1-0
Rated Bullet game,https://lichess.org/b44EEDIq,2024.03.02,22:55:12,QuarkPuppe,waltalgg,2169,2180,1-0
Rated Bullet game,https://lichess.org/CSnjuA9a,2024.03.02,22:53:36,InTheAirTonight,waltalgg,2184,2174,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/gY2KtuPX,2024.03.02,20:38:19,waltalgg,Iliketoplaysimpl1978,2173,1856,1-0
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/aHu9zv5c,2024.03.02,20:35:52,andrejb2,waltalgg,1958,2170,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/6JULVBBi,2024.03.02,20:33:29,waltalgg,DanielGilan,2174,2293,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/J9gltsqq,2024.03.02,20:32:29,Sammustaf22,waltalgg,2059,2170,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/oZXcvVE5,2024.03.02,20:29:58,dQonnchess,waltalgg,2024,2166,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/j402pv3t,2024.03.02,20:27:40,waltalgg,dinabogdan02,2173,2125,0-1
Rated Blitz game,https://lichess.org/idV9qj7N,2024.03.02,10:03:56,waltalgg,Abraxxxas,1918,1924,0-1
Rated Blitz game,https://lichess.org/O8R1dGSa,2024.03.02,09:56:29,waltalgg,mathana2,1924,1903,0-1
Rated Blitz game,https://lichess.org/8SmH4oBd,2024.03.02,09:49:43,leshagortop,waltalgg,1951,1930,1-0
Rated Blitz game,https://lichess.org/BrFKzojX,2024.03.02,09:42:35,waltalgg,Dmitriy_2810,1935,1952,0-1
Rated Blitz game,https://lichess.org/oRRRiURS,2024.03.02,09:41:09,Milivoj2591,waltalgg,1921,1941,1-0
Rated Blitz game,https://lichess.org/su7jZJgy,2024.03.02,09:40:10,waltalgg,hpojak,1935,1958,1-0
Hourly SuperBlitz Arena,https://lichess.org/d0fiepEl,2024.03.01,22:53:42,web35,waltalgg,1537,1934,0-1
Hourly SuperBlitz Arena,https://lichess.org/GMOp2rd4,2024.03.01,22:51:44,an3m3t,waltalgg,1708,1931,0-1
Hourly SuperBlitz Arena,https://lichess.org/5j21qU40,2024.03.01,22:46:15,waltalgg,minnesotasam,1926,1877,1-0
Hourly SuperBlitz Arena,https://lichess.org/U7T9NIAq,2024.03.01,22:42:08,waltalgg,Sneraness,1935,1722,0-1
Hourly SuperBlitz Arena,https://lichess.org/N8TZOUfo,2024.03.01,22:38:24,nameless_soul,waltalgg,1604,1934,0-1
Bullet Increment,https://lichess.org/zNbVBG4d,2024.03.01,21:39:28,waltalgg,karlvincentt,2183,1806,0-1
Bullet Increment,https://lichess.org/YtgMG22y,2024.03.01,21:34:46,jaskoniemowa,waltalgg,1619,2183,0-1
Rated Bullet game,https://lichess.org/6jebz78W,2024.03.01,17:15:55,Jgmarsh,waltalgg,2214,2188,1-0
Rated Bullet game,https://lichess.org/05IX99u7,2024.03.01,17:13:52,waltalgg,khaled-bch-DZ,2195,2101,0-1
Rated Bullet game,https://lichess.org/vavsAeSW,2024.03.01,17:11:45,nakah-twitch,waltalgg,2199,2189,0-1
Rated Bullet game,https://lichess.org/AI4Ks4HT,2024.03.01,17:10:26,waltalgg,Trubbercrue,2183,2194,1-0
Rated Bullet game,https://lichess.org/mZROa7q5,2024.03.01,17:08:06,Morphy27,waltalgg,2191,2177,0-1
Rated Bullet game,https://lichess.org/iPzl0tnt,2024.03.01,17:05:45,waltalgg,Budai1986,2172,2140,1-0
Rated Bullet game,https://lichess.org/wRamqHtp,2024.03.01,17:03:44,waltalgg,Reza2850,2178,2120,0-1
Rated Bullet game,https://lichess.org/KQADQe0o,2024.03.01,17:01:33,melinas,waltalgg,2161,2173,0-1
Rated Bullet game,https://lichess.org/RBZNggT7,2024.03.01,16:58:49,minddestroyer23,waltalgg,2228,2166,0-1
Hourly SuperBlitz Arena,https://lichess.org/3ssNwidi,2024.03.01,16:54:52,waltalgg,SERGUEYT,1940,1897,0-1
Hourly SuperBlitz Arena,https://lichess.org/H82ix2pr,2024.03.01,16:47:33,deba2021ghosh,waltalgg,1908,1935,0-1
Hourly SuperBlitz Arena,https://lichess.org/L5eXvrv6,2024.03.01,16:41:34,waltalgg,danielmoraga,1942,1859,0-1
Hourly SuperBlitz Arena,https://lichess.org/RsoUx5gS,2024.03.01,16:39:53,SantaHell,waltalgg,1388,1941,0-1
Hourly SuperBlitz Arena,https://lichess.org/wyK83PqM,2024.03.01,16:36:12,waltalgg,bulkametatel,1934,2060,1-0
Rated Blitz game,https://lichess.org/dm9x4N1s,2024.03.01,14:48:37,waltalgg,cuba0102,1929,1879,1-0
Rated Blitz game,https://lichess.org/KEcDvk3F,2024.03.01,14:39:51,waltalgg,AliDenizCaglar,1924,1888,1-0
≤2000 SuperBlitz Arena,https://lichess.org/93oWMtH1,2024.03.01,00:17:34,waltalgg,Lendario10,1930,1877,0-1
≤2000 SuperBlitz Arena,https://lichess.org/PKXG0kVZ,2024.03.01,00:13:43,kalad115,waltalgg,1620,1928,0-1
≤2000 SuperBlitz Arena,https://lichess.org/NRD8rtaK,2024.03.01,00:07:55,waltalgg,Advi06,1924,1815,1-0
≤2000 SuperBlitz Arena,https://lichess.org/NIkIH3VR,2024.03.01,00:01:24,waltalgg,XxTheSkywalkerxX,1916,1841,1-0
Rated Bullet game,https://lichess.org/rArPm7r0,2024.02.29,23:58:48,authenticboredom,waltalgg,2113,2161,0-1
Rated Bullet game,https://lichess.org/htrgyS6A,2024.02.29,23:57:33,mustfaa50,waltalgg,2142,2167,1-0
Hourly SuperBlitz Arena,https://lichess.org/ZwtkjL6j,2024.02.29,23:50:36,Gmslayer64,waltalgg,1610,1918,0-1
Hourly SuperBlitz Arena,https://lichess.org/REozfQtn,2024.02.29,23:49:18,waltalgg,nik131914,1918,1420,1-0
Hourly SuperBlitz Arena,https://lichess.org/7gp4z4lk,2024.02.29,23:42:45,Enassaraya,waltalgg,1546,1916,0-1
Rated Blitz game,https://lichess.org/tSJbUeCR,2024.02.29,23:28:19,waltalgg,erlingds,1908,2062,1-0
Rated Blitz game,https://lichess.org/2WKGCeqm,2024.02.29,23:26:36,PetitPanda,waltalgg,1840,1904,0-1
Rated Blitz game,https://lichess.org/8Z8D8qgq,2024.02.29,23:22:46,waltalgg,szachistaibrydzysta,1898,1880,1-0
Rated Blitz game,https://lichess.org/ENhMzidX,2024.02.29,23:16:36,szachistaibrydzysta,waltalgg,1886,1893,0-1
Rated Blitz game,https://lichess.org/Ndf0AG57,2024.02.29,18:58:31,waltalgg,Wooooojetk,1887,1887,1-0
Rated Blitz game,https://lichess.org/YM8yQyHq,2024.02.29,18:46:48,waltalgg,omarsh4wky,1887,1880,1/2-1/2
Rated Blitz game,https://lichess.org/DWYkpCIR,2024.02.29,18:42:01,waltalgg,josemanos,1893,1877,0-1
Rated Blitz game,https://lichess.org/jtoVmBFi,2024.02.29,18:40:38,Mik_oo,waltalgg,1865,1888,0-1
Rated Bullet game,https://lichess.org/Wyhn8TEZ,2024.02.29,18:38:42,Ochocuentos,waltalgg,2161,2161,0-1
Casual Blitz game,https://lichess.org/k8O8YQRw,2024.02.29,16:36:04,Oliverw-w,waltalgg,1846,1888,0-1
Casual Blitz game,https://lichess.org/ZsbeaQQr,2024.02.29,16:28:20,waltalgg,Oliverw-w,1888,1846,1-0
Rated Bullet game,https://lichess.org/Y8tn1OeP,2024.02.29,16:25:49,waltalgg,Perform,2168,2141,0-1
Rated Bullet game,https://lichess.org/avbCZGvw,2024.02.29,10:12:16,waltalgg,gansius,2174,2098,0-1
Rated Bullet game,https://lichess.org/FaXhM5RH,2024.02.29,10:10:08,waltalgg,EmrushAsllani,2167,2244,1-0
Rated Bullet game,https://lichess.org/8cFPfNPF,2024.02.29,10:07:38,NetFishing,waltalgg,2112,2162,0-1
Rated Bullet game,https://lichess.org/DS7w0nFd,2024.02.29,10:05:16,Magnus4mo,waltalgg,2142,2157,0-1
Rated Bullet game,https://lichess.org/fnmOdU0a,2024.02.29,10:02:45,waltalgg,NetFishing,2158,2112,1/2-1/2
Rated Bullet game,https://lichess.org/lFZuQZqk,2024.02.29,10:00:37,isaac990,waltalgg,2029,2154,0-1
Rated Bullet game,https://lichess.org/zEtXD8ys,2024.02.29,09:58:28,Szachmat90,waltalgg,2221,2159,1-0
Rated Bullet game,https://lichess.org/q0nluvVI,2024.02.29,09:56:18,waltalgg,Alois19000,2164,2206,0-1
Rated Bullet game,https://lichess.org/tConVAF4,2024.02.29,09:53:50,Monamix,waltalgg,2165,2158,0-1
Rated Bullet game,https://lichess.org/7qIf5JDe,2024.02.29,09:51:39,waltalgg,Quoc-Anh,2152,2141,1-0
Rated Bullet game,https://lichess.org/Ly0rX5g7,2024.02.29,09:49:29,waltalgg,konepelaaja,2146,2165,1-0
Rated Bullet game,https://lichess.org/sC8fjJUt,2024.02.29,09:47:39,Pu146,waltalgg,2168,2151,1-0
Rated Blitz game,https://lichess.org/KWPEyjrN,2024.02.29,00:19:49,molayikh,waltalgg,1944,1892,1-0
Rated Blitz game,https://lichess.org/vKsOEaGN,2024.02.29,00:07:44,waltalgg,SapoAzul,1896,2042,0-1
Rated Blitz game,https://lichess.org/W6OA6bnb,2024.02.28,23:32:17,La-7fleur237,waltalgg,1831,1903,1-0
Rated Blitz game,https://lichess.org/lGQ0eKmH,2024.02.28,23:25:18,waltalgg,La-7fleur237,1898,1836,1-0
Rated Blitz game,https://lichess.org/DUoXGOA3,2024.02.28,23:17:57,Reinier24,waltalgg,1892,1892,0-1
Daily HyperBullet Arena,https://lichess.org/2qHGWCfC,2024.02.28,20:08:47,waltalgg,Samvel0904,2155,2263,0-1
Daily HyperBullet Arena,https://lichess.org/sxvd0zUC,2024.02.28,20:07:31,kasparov0810,waltalgg,2232,2154,1/2-1/2
Daily HyperBullet Arena,https://lichess.org/k09vlp3Z,2024.02.28,20:06:04,waltalgg,Aut0mat0n,2148,2175,1-0
Daily HyperBullet Arena,https://lichess.org/tHtczsMS,2024.02.28,20:05:07,waltalgg,MaRd_77,2148,1384,1-0
Daily HyperBullet Arena,https://lichess.org/g9fBZ4Cu,2024.02.28,20:03:51,chess_in_bus,waltalgg,1631,2147,0-1
Daily HyperBullet Arena,https://lichess.org/siIWcs5g,2024.02.28,20:02:31,waltalgg,Kasparov_97,2152,2200,0-1
Daily HyperBullet Arena,https://lichess.org/PLUaIgk9,2024.02.28,20:01:16,waltalgg,Rafael10ricardo,2152,1493,1-0
Daily HyperBullet Arena,https://lichess.org/8vBx9xyd,2024.02.28,20:00:15,Aut0mat0n,waltalgg,2158,2158,1-0
Rated Bullet game,https://lichess.org/ECnDMRPG,2024.02.28,19:52:33,waltalgg,j-vgt,2157,2168,1/2-1/2
Rated Bullet game,https://lichess.org/76JLZ6cw,2024.02.28,19:50:32,cherilopez,waltalgg,2196,2163,1-0
Rated Bullet game,https://lichess.org/ZV9P8gFP,2024.02.28,19:48:36,ebeldosik532,waltalgg,2154,2157,0-1
Rated Bullet game,https://lichess.org/IMvCsJjl,2024.02.28,19:46:18,waltalgg,Le_bhai_hara_le,2163,2162,0-1
Rated Blitz game,https://lichess.org/4c5sVhXc,2024.02.28,19:19:12,waltalgg,mahla1370,1897,1956,0-1
Rated Blitz game,https://lichess.org/JLYGU29Q,2024.02.27,21:03:31,Fir3F3ath3rs,waltalgg,1929,1891,0-1
Rated Bullet game,https://lichess.org/TyAfj3cX,2024.02.27,15:47:17,waltalgg,Scorpion73,2170,2030,0-1
