Event,Site,Date,Round,White,Black,Result
Rated Blitz game,https://lichess.org/id1sNhOX,2024.03.04,?,waltalgg,ArtTikhon,1/2-1/2
Rated Blitz game,https://lichess.org/IzpSeMZD,2024.03.04,?,waltalgg,kingsajjad1,0-1
Rated Blitz game,https://lichess.org/yRhDDrf1,2024.03.04,?,maherrrrr,waltalgg,1-0
Rated Blitz game,https://lichess.org/TsegvnH9,2024.03.04,?,waltalgg,gurukhan,0-1
Rated Bullet game,https://lichess.org/veCY47ah,2024.03.04,?,RudraRaval1,waltalgg,1-0
Rated Bullet game,https://lichess.org/PtvqNU9K,2024.03.04,?,waltalgg,Sergaddd25,1-0
Rated Bullet game,https://lichess.org/yoQ9gOi0,2024.03.04,?,ozenc1029,waltalgg,1-0
Rated Bullet game,https://lichess.org/VNwpIpdS,2024.03.04,?,waltalgg,Ignatka,1-0
Rated Bullet game,https://lichess.org/LxyUirIn,2024.03.04,?,waltalgg,ShekerMeker,1-0
Rated Bullet game,https://lichess.org/ftQ0zwnv,2024.03.04,?,predator28,waltalgg,1-0
Rated Bullet game,https://lichess.org/XVBmIO3w,2024.03.04,?,MassimoF79,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/n2CLlkZc,2024.03.04,?,waltalgg,mirsch,1-0
Rated Bullet game,https://lichess.org/T4psTIui,2024.03.04,?,Steel9131,waltalgg,0-1
Rated Bullet game,https://lichess.org/rME4FQqk,2024.03.04,?,Delatorre87,waltalgg,1-0
Rated Bullet game,https://lichess.org/p50UIOiL,2024.03.04,?,waltalgg,Klopapierkoenig,1-0
Rated Bullet game,https://lichess.org/NnJvaDsb,2024.03.04,?,waltalgg,Thomas_Bryan,1-0
King's Pawn Game SuperBlitz Arena,https://lichess.org/qtjNE3gB,2024.03.03,?,waltalgg,wzetty,1-0
King's Pawn Game SuperBlitz Arena,https://lichess.org/l2ZGKtCU,2024.03.03,?,Vin30333,waltalgg,0-1
King's Pawn Game SuperBlitz Arena,https://lichess.org/SVcLYLqY,2024.03.03,?,waltalgg,Hasanalihindi,1/2-1/2
King's Pawn Game SuperBlitz Arena,https://lichess.org/t7orrmcN,2024.03.03,?,ooaua,waltalgg,0-1
King's Pawn Game SuperBlitz Arena,https://lichess.org/CcQ38bVI,2024.03.03,?,ALuckyMan,waltalgg,1/2-1/2
King's Pawn Game SuperBlitz Arena,https://lichess.org/Yx8uvITg,2024.03.03,?,waltalgg,DAM_PRIKYRITb,0-1
Hourly SuperBlitz Arena,https://lichess.org/aPMjNPKe,2024.03.03,?,inadimi64,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/Z44S3vqm,2024.03.03,?,waltalgg,LoveMayonnaise,1-0
Hourly SuperBlitz Arena,https://lichess.org/auphV7Lj,2024.03.03,?,VAvpav,waltalgg,0-1
Rated Blitz game,https://lichess.org/BhDZkDKI,2024.03.03,?,JellyBrain,waltalgg,0-1
Rated Blitz game,https://lichess.org/LdbS88l9,2024.03.03,?,DipjyotiBorah,waltalgg,1-0
Rated Blitz game,https://lichess.org/x5CjbQFz,2024.03.03,?,waltalgg,DipjyotiBorah,1-0
SuperBlitz,https://lichess.org/Udsimhwf,2024.03.02,?,mashid,waltalgg,1-0
SuperBlitz,https://lichess.org/GL1i7Bbq,2024.03.02,?,waltalgg,Chemistry333,1-0
Rated Bullet game,https://lichess.org/b44EEDIq,2024.03.02,?,QuarkPuppe,waltalgg,1-0
Rated Bullet game,https://lichess.org/CSnjuA9a,2024.03.02,?,InTheAirTonight,waltalgg,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/gY2KtuPX,2024.03.02,?,waltalgg,Iliketoplaysimpl1978,1-0
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/aHu9zv5c,2024.03.02,?,andrejb2,waltalgg,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/6JULVBBi,2024.03.02,?,waltalgg,DanielGilan,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/J9gltsqq,2024.03.02,?,Sammustaf22,waltalgg,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/oZXcvVE5,2024.03.02,?,dQonnchess,waltalgg,0-1
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/j402pv3t,2024.03.02,?,waltalgg,dinabogdan02,0-1
Rated Blitz game,https://lichess.org/idV9qj7N,2024.03.02,?,waltalgg,Abraxxxas,0-1
Rated Blitz game,https://lichess.org/O8R1dGSa,2024.03.02,?,waltalgg,mathana2,0-1
Rated Blitz game,https://lichess.org/8SmH4oBd,2024.03.02,?,leshagortop,waltalgg,1-0
Rated Blitz game,https://lichess.org/BrFKzojX,2024.03.02,?,waltalgg,Dmitriy_2810,0-1
Rated Blitz game,https://lichess.org/oRRRiURS,2024.03.02,?,Milivoj2591,waltalgg,1-0
Rated Blitz game,https://lichess.org/su7jZJgy,2024.03.02,?,waltalgg,hpojak,1-0
Hourly SuperBlitz Arena,https://lichess.org/d0fiepEl,2024.03.01,?,web35,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/GMOp2rd4,2024.03.01,?,an3m3t,waltalgg,0-1
Hourly SuperBlitz Arena,https://lichess.org/5j21qU40,2024.03.01,?,waltalgg,minnesotasam,1-0
Hourly SuperBlitz Arena,https://lichess.org/U7T9NIAq,2024.03.01,?,waltalgg,Sneraness,0-1
Hourly SuperBlitz Arena,https://lichess.org/N8TZOUfo,2024.03.01,?,nameless_soul,waltalgg,0-1
Bullet Increment,https://lichess.org/zNbVBG4d,2024.03.01,?,waltalgg,karlvincentt,0-1
Bullet Increment,https://lichess.org/YtgMG22y,2024.03.01,?,jaskoniemowa,waltalgg,0-1
